elo_diff,winrate_30d_diff,form_diff,h2h_winrate_a,ranking_diff,map_winrate_diff,days_since_last_diff,lineup_age_diff,team_a_won,date,team_a,team_b,winner,event
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-15 06:00:00+00:00,Spirit,Aurora,team1,BetBoom Dacha Belgrade 2024
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-15 08:00:00+00:00,3DMAX,Zero Tenacity,team2,RES Regional Series 4 Europe
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-15 08:30:00+00:00,MASONIC,CPH Wolves,team2,CCT Season 2 Europe Series 4 Closed Qualifier
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-15 08:45:00+00:00,HEROIC,MIBR,team1,BetBoom Dacha Belgrade 2024
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-15 09:30:00+00:00,EYEBALLERS,9INE,team1,ESL Challenger League Season 47 Europe
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-15 12:50:00+00:00,BetBoom,Falcons,team2,BetBoom Dacha Belgrade 2024
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-15 13:00:00+00:00,Imperial,Fluxo,team1,Thunderpick World Championship 2024 SA Closed Qualifier 1
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-15 14:00:00+00:00,B8,PARIVISION,team2,RES Regional Series 4 Europe
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-15 14:00:00+00:00,GUN5,777,team1,CCT Season 2 Europe Series 4 Closed Qualifier
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-15 16:00:00+00:00,9z,Sharks,team1,Thunderpick World Championship 2024 SA Closed Qualifier 1
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-15 17:00:00+00:00,BESTIA,ODDIK,team1,ESL Challenger League Season 47 South America
32.0,0.0,0.0,0.0,-0.32,0.0,0,0,0,2024-05-15 18:00:00+00:00,ODDIK,BESTIA,team2,ESL Challenger League Season 47 South America
-16.0,0.0,-0.5,0.5,0.16,0.0,-14,0,0,2024-05-15 19:00:00+00:00,9z,RED Canids,team2,ESL Challenger League Season 47 South America
46.52738641295582,0.0,0.0,0.0,-0.4652738641295582,0.0,0,0,0,2024-05-15 20:25:00+00:00,RED Canids,9z,team2,ESL Challenger League Season 47 South America
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-15 21:00:00+00:00,NRG,LAG,team1,ESL Challenger League Season 47 North America
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-15 21:00:00+00:00,BOSS,Wildcard,team2,ESL Challenger League Season 47 North America
