match_id,date,team_a,team_b,score_a,score_b,winner,event,maps
hltv_match_2371997,2024-05-15 06:00:00+00:00,Spirit,Aurora,,,team1,BetBoom Dacha Belgrade 2024,0
hltv_match_2372188,2024-05-15 08:00:00+00:00,3DMAX,Zero Tenacity,,,team2,RES Regional Series 4 Europe,0
hltv_match_2372226,2024-05-15 08:30:00+00:00,MASONIC,CPH Wolves,,,team2,CCT Season 2 Europe Series 4 Closed Qualifier,0
hltv_match_2371998,2024-05-15 08:45:00+00:00,HEROIC,MIBR,,,team1,BetBoom Dacha Belgrade 2024,0
hltv_match_2372273,2024-05-15 09:30:00+00:00,EYEBALLERS,9INE,,,team1,ESL Challenger League Season 47 Europe,0
hltv_match_2371994,2024-05-15 12:50:00+00:00,BetBoom,Falcons,,,team2,BetBoom Dacha Belgrade 2024,0
hltv_match_2372055,2024-05-15 13:00:00+00:00,Imperial,Fluxo,,,team1,Thunderpick World Championship 2024 SA Closed Qualifier 1,0
hltv_match_2372190,2024-05-15 14:00:00+00:00,B8,PARIVISION,,,team2,RES Regional Series 4 Europe,0
hltv_match_2372228,2024-05-15 14:00:00+00:00,GUN5,777,,,team1,CCT Season 2 Europe Series 4 Closed Qualifier,0
hltv_match_2372054,2024-05-15 16:00:00+00:00,9z,Sharks,,,team1,Thunderpick World Championship 2024 SA Closed Qualifier 1,0
hltv_match_2372176,2024-05-15 17:00:00+00:00,BESTIA,ODDIK,,,team1,ESL Challenger League Season 47 South America,0
hltv_match_2372182,2024-05-15 18:00:00+00:00,ODDIK,BESTIA,,,team2,ESL Challenger League Season 47 South America,0
hltv_match_2372175,2024-05-15 19:00:00+00:00,9z,RED Canids,,,team2,ESL Challenger League Season 47 South America,0
hltv_match_2372181,2024-05-15 20:25:00+00:00,RED Canids,9z,,,team2,ESL Challenger League Season 47 South America,0
hltv_match_2372143,2024-05-15 21:00:00+00:00,NRG,LAG,,,team1,ESL Challenger League Season 47 North America,0
hltv_match_2372141,2024-05-15 21:00:00+00:00,BOSS,Wildcard,,,team2,ESL Challenger League Season 47 North America,0
hltv_match_2372144,2024-05-15 21:00:00+00:00,Take Flyte,Mythic,,,team1,ESL Challenger League Season 47 North America,0
hltv_match_2372149,2024-05-15 21:45:00+00:00,LAG,NRG,,,team2,ESL Challenger League Season 47 North America,0
hltv_match_2372150,2024-05-15 22:00:00+00:00,Mythic,Take Flyte,,,team1,ESL Challenger League Season 47 North America,0
hltv_match_2372147,2024-05-15 22:00:00+00:00,Wildcard,BOSS,,,team1,ESL Challenger League Season 47 North America,0
hltv_match_2372069,2024-05-16 04:00:00+00:00,Zero Tenacity,ECF,,,team1,European Pro League 2nd Division Season 12,0
hltv_match_2372191,2024-05-16 05:00:00+00:00,Sashi,Passion UA,,,team2,RES Regional Series 4 Europe,0
hltv_match_2372229,2024-05-16 05:00:00+00:00,EYEBALLERS,MASONIC,,,team2,CCT Season 2 Europe Series 4 Closed Qualifier,0
hltv_match_2372070,2024-05-16 05:45:00+00:00,SAW,Aurora,,,team1,CCT Global Finals 2024,0
hltv_match_2371995,2024-05-16 06:20:00+00:00,MOUZ,Virtus.pro,,,team1,BetBoom Dacha Belgrade 2024,0
hltv_match_2372110,2024-05-16 07:20:00+00:00,1win,Zero Tenacity,,,team1,CCT Season 2 Europe Series 3,0
hltv_match_2372192,2024-05-16 08:00:00+00:00,Metizport,Rare Atom,,,team1,RES Regional Series 4 Europe,0
