match_id,date,team_a,team_b,event,tournament,match_type,status,stream_url,source
ps_1504682,2026-05-26 10:30:00,UNiTY esports,Atreides,European Pro League,Series 7 Closed Qualifier 2026,best_of,not_started,https://kick.com/eplcs_en,pandascore
ps_1510113,2026-05-26 11:00:00,Entropy,G2 Ares,NODWIN Clutch Series,Season 9 2026,best_of,not_started,https://kick.com/nodwin_cs2,pandascore
ps_1504705,2026-05-26 11:00:00,HEROIC Academy,TNC,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1504012,2026-05-26 11:00:00,Donstu Esports,Bushido Wildcats,CCT Europe,Challengers Series season 3 2026,best_of,not_started,https://kick.com/CCT_CS5,pandascore
ps_1504011,2026-05-26 11:00:00,Vexar,Lilmix,CCT Europe,Challengers Series season 3 2026,best_of,not_started,https://kick.com/CCT_CS5,pandascore
ps_1500249,2026-05-26 11:00:00,Rune Eaters,Bebop,Thunderpick World Championship,European Series #1 2026,best_of,not_started,https://www.twitch.tv/thunderpicktv,pandascore
ps_1489294,2026-05-26 11:00:00,Oramond,Leo Team,CCT Europe,Series 2 2026,best_of,not_started,https://kick.com/cct_cs2,pandascore
ps_1498611,2026-05-26 12:00:00,TBD,TBD,CIS LAN Championship,Season 5 2026,best_of,not_started,https://www.twitch.tv/mpkbk,pandascore
ps_1510109,2026-05-26 12:30:00,Pitstop crew,Diamant Esports,Exort Series,Season 27 2026,best_of,not_started,https://kick.com/exort_en2,pandascore
ps_1508596,2026-05-26 13:00:00,TYLOO,Kaleido Gaming,ESL Challenger League,Asia-Pacific Finals season 51 2026,best_of,not_started,,pandascore
ps_1504014,2026-05-26 13:45:00,G2 Ares,Misa Esports,CCT Europe,Challengers Series season 3 2026,best_of,not_started,https://kick.com/CCT_CS5,pandascore
ps_1504010,2026-05-26 13:45:00,brazylijski luz,Project 91,CCT Europe,Challengers Series season 3 2026,best_of,not_started,https://kick.com/CCT_CS5,pandascore
ps_1510114,2026-05-26 14:00:00,RUSTEC,Lilmix,NODWIN Clutch Series,Season 9 2026,best_of,not_started,https://kick.com/nodwin_cs2,pandascore
ps_1504706,2026-05-26 14:00:00,Oramond,HAVU,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1500245,2026-05-26 14:00:00,2007,ex-Zero Tenacity,Thunderpick World Championship,European Series #1 2026,best_of,not_started,https://www.twitch.tv/thunderpicktv,pandascore
ps_1498245,2026-05-26 14:00:00,GenOne,ASTRAL,BC Game Masters,Europe Series #2 season 2 2026,best_of,not_started,https://kick.com/bcgamemasters,pandascore
ps_1498244,2026-05-26 14:00:00,fnatic,Rune Eaters,BC Game Masters,Europe Series #2 season 2 2026,best_of,not_started,https://kick.com/bcgamemasters,pandascore
ps_1489295,2026-05-26 14:00:00,AM Gaming,Lazer Cats,CCT Europe,Series 2 2026,best_of,not_started,https://kick.com/cct_cs2,pandascore
ps_1498618,2026-05-26 15:00:00,CYBERSHOKE Esports,Dark Moon,CIS LAN Championship,Season 5 2026,best_of,not_started,https://www.twitch.tv/mpkbk,pandascore
ps_1498617,2026-05-26 15:00:00,1WIN,Virtus.pro,CIS LAN Championship,Season 5 2026,best_of,not_started,https://www.twitch.tv/mpkbk,pandascore
ps_1510110,2026-05-26 15:30:00,Melilla Titans,eSuba,Exort Series,Season 27 2026,best_of,not_started,https://kick.com/exort_en2,pandascore
ps_1469280,2026-05-26 16:00:00,Dripmen,The Last Resort,UKIC,Masters Division season 10 2026,best_of,not_started,https://www.twitch.tv/UKICircuit,pandascore
ps_1510116,2026-05-26 17:00:00,ASTRAL,MANA eSports,NODWIN Clutch Series,Season 9 2026,best_of,not_started,https://kick.com/nodwin_cs2,pandascore
ps_1508602,2026-05-26 17:00:00,Team Nemesis,INOX Division,ESL Challenger League,Europe Finals season 51 2026,best_of,not_started,https://www.twitch.tv/lorranbs_,pandascore
ps_1504707,2026-05-26 17:00:00,KOLESIE,Bushido Wildcats,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1500250,2026-05-26 17:00:00,VRSDelivery,HyperSpirit,Thunderpick World Championship,European Series #1 2026,best_of,not_started,https://www.twitch.tv/thunderpicktv,pandascore
ps_1498246,2026-05-26 17:00:00,ex-RUBY,PsychoFace,BC Game Masters,Europe Series #2 season 2 2026,best_of,not_started,https://kick.com/bcgamemasters,pandascore
ps_1489296,2026-05-26 17:00:00,ALGO Esports,Brute,CCT Europe,Series 2 2026,best_of,not_started,https://kick.com/cct_cs2,pandascore
ps_1498620,2026-05-26 18:00:00,TBD,TBD,CIS LAN Championship,Season 5 2026,best_of,not_started,https://www.twitch.tv/mpkbk,pandascore
ps_1498619,2026-05-26 18:00:00,TBD,TBD,CIS LAN Championship,Season 5 2026,best_of,not_started,https://www.twitch.tv/mpkbk,pandascore
ps_1510111,2026-05-26 18:30:00,Vortex CGO,HAVENs,Exort Series,Season 27 2026,best_of,not_started,https://kick.com/exort_en2,pandascore
ps_1502450,2026-05-26 20:00:00,FURIA fe,Martians,Gamers Club Liga Série A,May 2026,best_of,not_started,,pandascore
ps_1510112,2026-05-26 20:00:00,Guara Esports,ODDIK Academy,Gamers Club Liga Série A,May 2026,best_of,not_started,,pandascore
ps_1498621,2026-05-26 21:00:00,TBD,TBD,CIS LAN Championship,Season 5 2026,best_of,not_started,https://www.twitch.tv/mpkbk,pandascore
ps_1508600,2026-05-27 01:00:00,M80,Iowa Stormboar,ESL Challenger League,North America Finals season 51 2026,best_of,not_started,,pandascore
ps_1504708,2026-05-27 08:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1504683,2026-05-27 08:00:00,HEROIC Academy,GenOne,European Pro League,Series 7 Closed Qualifier 2026,best_of,not_started,https://kick.com/eplcs_en,pandascore
ps_1500236,2026-05-27 08:00:00,Hashiras,Esport Academy Copenhagen,Thunderpick World Championship,European Series #1 2026,best_of,not_started,https://www.twitch.tv/thunderpicktv,pandascore
ps_1499183,2026-05-27 08:00:00,ALGO Esports,TBD,United21,Season 49 2026,best_of,not_started,https://kick.com/united21_en,pandascore
ps_1489297,2026-05-27 08:00:00,TBD,TBD,CCT Europe,Series 2 2026,best_of,not_started,https://kick.com/cct_cs2,pandascore
ps_1498622,2026-05-27 09:00:00,TBD,TBD,CIS LAN Championship,Season 5 2026,best_of,not_started,https://www.twitch.tv/mpkbk,pandascore
ps_1479967,2026-05-27 10:00:00,3DMAX,magic,Stake Ranked,Episode 2 2026,best_of,not_started,https://kick.com/starladder,pandascore
ps_1504684,2026-05-27 10:30:00,Donstu Esports,brazylijski luz,European Pro League,Series 7 Closed Qualifier 2026,best_of,not_started,https://kick.com/eplcs_en,pandascore
ps_1504709,2026-05-27 11:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1504016,2026-05-27 11:00:00,Julie&cie,Hashiras,CCT Europe,Challengers Series season 3 2026,best_of,not_started,https://kick.com/CCT_CS6,pandascore
